ID	H3_WT	H3_atx34	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3-1	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3-1	K4me3_atx3-145	
AT1G01010	16.7739	15.7749	15.4878	14.2946	65.7316	65.6558	61.0939	46.887	22.1243	15.0084	24.465	14.5995
AT1G01020	14.2943	13.9449	13.0155	11.2821	21.2679	32.8791	21.7233	33.3603	31.5271	43.425	34.8399	27.2033
AT1G01030	14.6152	14.6769	14.0101	14.3241	95.7679	86.2949	77.4424	77.6811	36.1531	38.459	41.5904	28.4112
AT1G01040	65.8121	64.82	62.1503	60.5452	65.203	93.516	61.8106	114.173	75.7254	81.7736	75.3883	71.4219
AT1G01046	2.9172	2.89146	2.47237	2.156	0.870617	1.28034	0.940596	1.13086	2.16215	0.441423	1.08733	2.10064
AT1G01050	12.9524	14.1279	10.9978	10.2484	19.309	22.6364	16.2589	26.2707	31.0243	45.7976	35.8366	28.0961
AT1G01060	31.5641	30.2322	29.5548	29.2094	158.017	232.919	124.472	247.353	29.1135	26.4302	29.811	33.3477
AT1G01070	18.2909	18.52	17.8181	15.6827	8.79945	7.68204	11.5111	6.65465	9.25197	5.84885	8.74396	12.9715
AT1G01080	15.0236	15.0063	12.4187	12.1976	44.0594	51.5209	37.6686	62.806	49.1762	75.5385	62.2497	47.422
AT1G01090	18.6117	19.1788	17.875	17.2185	36.8458	46.8092	32.5625	61.1097	58.7299	98.5477	83.1809	57.6626
AT1G01100	6.21364	7.83257	6.22356	6.94055	10.6651	14.5447	11.959	15.9625	31.5774	47.8392	37.2864	29.8816
AT1G01110	20.1287	20.8258	20.5178	18.5475	72.3545	37.8468	61.6762	22.0082	23.2305	18.7605	22.4262	15.2297
AT1G01120	15.5195	15.2259	14.749	14.2355	69.1519	30.6769	64.5428	22.7476	26.1972	29.9616	26.2772	21.4266
AT1G01130	11.1437	12.9933	10.4294	10.1007	29.9741	17.6687	27.9939	16.8759	21.37	21.7953	24.465	17.1202
AT1G01140	22.2582	26.3526	21.8251	20.2605	44.4637	44.9655	40.7592	47.2785	41.2316	46.7908	41.6357	35.0807
AT1G01150	17.7366	19.1422	16.4256	17.6319	62.9021	36.4641	56.1222	15.658	11.9672	5.46261	11.0998	11.9737
AT1G01160	14.1776	13.7253	12.7313	12.936	27.6732	36.3104	27.0533	37.3617	36.7062	53.3018	45.3961	35.9735
AT1G01170	5.60103	5.81952	4.54689	4.96175	8.70617	9.52573	7.47998	7.35056	18.8559	20.9676	20.2969	13.9693
AT1G01180	9.83097	9.66261	8.07073	7.53123	49.1277	47.6286	49.4933	14.5706	30.0689	32.7205	26.7302	14.8095
AT1G01183	2.24625	2.78166	2.41554	2.39227	3.8245	1.79248	3.18011	1.78327	2.46384	3.08996	3.89627	2.88838
AT1G01190	15.6654	15.0429	13.4986	13.9402	40.8879	20.3318	36.2801	6.17621	7.54237	3.80727	8.47213	9.40038
AT1G01200	10.9687	11.5292	11.3104	9.53956	69.0897	34.2619	57.3764	10.1777	18.5542	13.7945	19.2095	12.7089
AT1G01210	6.65122	7.39336	5.65519	4.99129	22.9781	31.7012	23.3805	38.9275	25.6441	39.5625	28.7237	21.8992
AT1G01220	34.9481	37.5524	35.2384	35.9432	49.0655	63.9658	46.4027	81.6391	70.1943	83.9807	75.0259	56.0346
AT1G01225	10.6186	10.2116	10.5999	9.59863	48.6613	43.0194	41.7445	22.1387	26.5491	33.493	28.7237	14.9146
AT1G01230	11.9022	11.0168	12.1913	9.27376	16.3241	20.4342	17.3786	24.0524	44.6508	65.3858	54.4572	40.3323
AT1G01240	13.9734	13.7985	13.1291	11.7842	34.4205	43.7364	31.4876	40.3194	32.4322	42.5421	36.924	27.2558
AT1G01250	9.24753	9.2234	8.66751	8.47633	54.1026	20.9976	46.3579	8.22045	11.1124	7.06277	9.28763	6.77457
AT1G01260	19.6328	21.3383	18.7843	18.4884	43.6241	62.7879	42.7747	78.0291	59.635	85.636	72.9871	53.1988
AT1G01270	1.57529	0.768616	0.682033	1.15184	0.528589	1.02427	1.11976	0.826395	0.553107	0.441423	0.860804	1.05032
AT1G01280	12.7482	11.7855	11.7935	11.5774	23.5688	13.3155	18.4536	6.95911	9.80508	3.42103	6.5693	8.5076
AT1G01290	13.7108	15.0063	13.6691	11.6365	28.0152	38.9223	27.9491	38.7971	27.6051	35.5897	26.9568	22.0042
AT1G01300	13.9151	13.7253	13.2144	10.78	53.7295	60.2272	53.4796	68.9387	100.414	158.636	125.27	93.4786
AT1G01305	5.33848	5.78292	5.31418	4.96175	6.46744	3.27767	8.19662	2.82714	3.01695	0.827668	2.71833	3.83367
AT1G01310	4.46332	5.01431	5.14367	3.39644	20.8326	10.8061	20.29	4.17547	7.34124	3.25549	5.98032	5.67174
AT1G01320	69.1668	69.0657	62.8323	62.2287	59.1087	74.823	57.1972	76.5503	80.5525	93.7472	81.5046	75.5181
AT1G01335	0.554268	0.841818	1.05147	0.561151	1.8967	0.870631	1.61245	0.826395	1.05593	0.496601	0.860804	2.46826
AT1G01340	26.4298	27.6336	25.4626	27.3783	35.2289	26.7847	30.9949	15.2666	13.878	8.2215	13.5463	15.4922
AT1G01350	13.8859	14.6037	13.2712	14.0288	16.2308	20.0757	18.6775	25.7922	27.5045	37.3554	30.8983	28.2536
AT1G01355	14.3526	11.8587	12.845	13.1132	60.2902	43.634	51.688	10.7431	7.64293	5.95921	5.93502	6.09186
AT1G01360	8.0223	7.94237	7.92864	7.67891	33.3322	46.7068	28.2627	53.2372	45.9582	66.9859	54.7743	39.3345
AT1G01370	15.0528	17.8246	14.8058	14.7967	75.4949	101.352	61.8106	87.6848	21.9232	23.7265	17.352	16.5951
AT1G01380	6.18447	7.28356	5.99621	4.99129	22.0142	5.58228	19.0359	5.17584	6.0339	2.26229	4.62116	5.40916
AT1G01390	14.411	14.7867	14.55	14.265	50.2159	38.5126	44.4768	18.8331	17.9508	16.2775	15.2226	13.2866
AT1G01400	16.2488	14.4207	13.9817	13.4086	35.944	25.7092	27.8596	5.69778	6.587	3.53138	6.43338	7.35225
AT1G01410	9.86014	8.52798	9.6053	10.0416	10.0432	6.81141	8.95806	3.74052	4.5757	2.15194	5.07421	5.30412
AT1G01420	12.4273	12.4443	11.1683	11.4593	65.2341	47.1165	55.6295	28.8368	28.9627	38.9004	32.3934	21.1115
AT1G01430	12.6607	14.3475	14.2374	11.9614	52.9211	65.707	49.8964	67.5469	65.4175	84.3118	70.7219	52.3585
AT1G01440	24.3586	24.1565	22.5355	21.6191	27.6732	33.9546	29.472	36.5354	41.835	50.267	39.8235	32.77
AT1G01448	24.7962	25.4009	24.3827	24.2772	30.6582	41.8415	29.7855	25.5747	26.9514	30.6789	25.2805	17.5929
AT1G01450	14.586	14.2011	13.6691	14.1174	11.318	15.2104	10.5705	11.0476	7.79378	5.84885	6.52399	6.51199
AT1G01453	11.1729	12.0051	11.7935	10.78	50.3403	19.2051	44.7903	6.87213	8.39717	3.42103	7.02235	8.71767
AT1G01460	21.5873	23.5343	22.5355	20.674	34.8247	15.9786	30.8605	10.3517	12.3192	5.35225	8.97049	14.5995
AT1G01470	9.56842	9.4796	8.92327	8.68307	24.0663	12.9058	23.8284	10.6561	18.5542	15.5602	18.8924	10.8708
AT1G01480	17.474	16.2141	15.7152	14.3536	32.8969	10.8573	26.919	8.30744	11.1124	4.52458	8.15499	12.3938
AT1G01490	12.9815	12.5907	10.3158	10.7209	25.963	27.9114	24.0524	25.7487	57.8751	78.2422	70.3141	47.7371
AT1G01500	12.719	14.3841	13.6123	12.0795	49.5941	65.8607	45.059	88.2938	74.7197	121.171	88.4816	69.1637
AT1G01510	27.0133	27.3774	25.3773	26.1378	49.8739	71.7502	53.5692	104.474	79.3457	121.778	85.8086	66.5904
AT1G01520	15.0528	14.1645	12.1913	12.4635	65.2963	80.9687	53.3452	73.9841	12.1181	13.0772	11.9606	13.1815
AT1G01530	8.72243	10.0652	8.1844	8.38773	5.6901	4.45558	6.58417	2.60967	4.97796	1.82087	3.94158	5.40916
AT1G01540	19.6911	20.2768	18.898	15.6827	29.943	40.7148	28.0835	50.758	87.6926	130.496	105.924	78.0914
AT1G01550	13.0691	13.6887	11.9072	11.666	12.4685	19.666	14.1537	18.7896	44.5	74.3246	59.9392	41.8028
AT1G01560	15.4612	15.7383	14.408	12.936	45.1166	23.3534	40.5352	30.6636	14.0791	5.35225	10.4203	12.0262
AT1G01570	10.7645	10.1018	10.4578	10.2779	57.8649	63.1463	53.6588	21.9647	32.8344	35.2035	30.5359	16.4375
AT1G01580	28.8803	31.5865	28.3328	28.412	46.6091	21.4585	42.3716	12.9179	16.4424	7.2283	13.0027	19.7986
AT1G01590	28.3844	25.7304	27.7929	25.3109	42.6913	12.0864	39.5946	7.0461	13.4757	6.51099	9.96721	17.3828
AT1G01600	16.103	16.9462	14.9195	16.0962	88.492	71.3917	80.8913	20.6599	23.3311	20.0296	18.8924	12.2888
AT1G01610	23.7752	24.4859	22.9618	22.0621	75.0596	44.0437	63.6918	25.9227	27.4542	31.6169	30.7624	25.8379
AT1G01620	11.0562	12.0051	12.1345	9.80537	46.578	64.1194	47.4329	70.896	79.8485	123.323	95.6852	68.8486
AT1G01630	14.411	13.7253	13.3565	13.1723	58.0204	43.9413	50.7922	26.1402	19.4593	18.8157	25.8694	17.2253
AT1G01640	13.0107	14.2743	11.8503	11.1049	16.5417	12.0352	12.2277	7.0896	8.95028	6.34545	6.5693	9.29534
AT1G01650	38.5654	38.1746	35.8636	34.3188	28.3883	38.3078	32.1594	45.1038	57.2717	65.2754	63.3824	54.1966
AT1G01660	24.2711	22.4729	24.1269	24.2772	51.5841	22.1243	48.5527	11.0911	13.7271	5.68332	12.1419	14.2319
AT1G01670	27.48	25.8402	27.3098	26.1083	43.7796	31.5988	39.1915	17.9197	18.0011	13.4082	13.3198	18.4331
AT1G01680	16.5989	17.3488	17.1645	15.2987	28.7615	11.4206	27.0085	9.96023	9.55367	3.47621	8.42682	11.6586
AT1G01690	27.1883	26.133	24.4395	24.8678	66.2291	100.327	58.5857	109.824	41.4327	44.363	38.4191	32.1398
AT1G01695	13.7108	12.2247	12.1345	12.6997	23.3512	13.5716	17.8265	7.35056	7.7435	3.64174	5.88971	8.5076
AT1G01700	16.3363	17.3488	17.5055	17.248	47.2932	29.9599	46.2236	26.5316	14.2299	10.3734	13.048	12.8139
AT1G01710	22.5791	23.2781	23.7007	20.3491	36.4104	55.5155	37.4447	54.3681	44.1983	47.8392	35.1118	35.0807
AT1G01715	10.9978	11.639	9.97474	10.3961	24.626	24.8898	21.4993	14.1357	21.8226	23.5058	17.4426	13.3916
