ID	H3_WT	H3_atx45	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3	K4me3_atx3-145	
AT1G01010	15.8704	16.3622	16.9541	14.9882	48.4886	48.1837	49.6615	29.7162	21.3576	17.0412	18.5739	17.2768	
AT1G01020	12.6717	12.3138	10.6875	11.6892	17.6633	20.2425	21.7307	23.0271	29.0314	28.2744	25.9649	29.7831	
AT1G03987	1.8864	2.19287	2.70407	2.1179	2.9059	1.85833	3.37097	2.78219	1.55621	2.29769	2.69932	1.93397	
AT1G01030	14.6811	14.1693	14.5934	15.0697	53.1039	47.9846	57.0656	44.2783	37.832	38.3587	30.7208	38.6794	
AT1G01040	66.4751	60.0932	60.9918	59.7899	70.3114	81.0363	67.2989	90.4508	74.6444	80.2916	69.4111	84.1276	
AT1G03993	7.83266	8.56064	7.85468	7.4941	23.4751	28.7377	23.5366	33.6823	37.4564	41.0393	26.4148	35.3916	
AT1G01046	2.99364	2.65675	1.93148	3.42122	1.3105	2.1238	2.04666	2.723	1.98551	1.08502	1.60674	2.19183	
AT1G01050	11.8925	10.4583	9.82908	10.3451	16.7517	19.1142	14.8684	19.061	26.9922	28.8488	24.551	26.7532	
AT1G03997	2.29649	2.53024	2.10316	1.71061	4.95712	7.03509	5.41762	6.39312	14.0596	16.7221	11.2472	14.4403	
AT1G01060	31.9868	28.676	30.3886	30.0171	70.5393	87.0758	82.4683	101.284	61.4971	65.7395	50.0017	60.9845	
AT1G01070	16.1574	15.1814	14.1642	15.2733	14.1307	15.1321	14.0256	13.2598	12.5033	10.0843	14.5249	14.4403	
AT1G04003	2.00943	1.64465	1.20181	2.1179	1.82331	1.19464	1.02333	1.83506	1.2879	0.829722	1.79955	0.644656	
AT1G01080	14.5171	14.4224	13.5203	13.5627	31.5661	39.2903	37.502	41.0225	45.5057	53.549	39.3972	44.8036	
AT1G01090	20.7094	21.3805	22.5339	22.0343	30.3125	36.5028	34.6728	36.0501	66.0048	79.7172	51.9941	74.7801	
AT1G01100	9.02191	9.23537	6.99624	7.24973	11.5096	9.49073	11.1964	13.7334	29.407	32.2954	22.6229	33.78	
AT1G01110	20.8734	21.3805	20.1303	20.8532	47.2921	31.7243	54.4772	25.7501	25.1677	22.6578	24.1653	29.074	
AT1G01120	16.8956	18.0069	16.9112	16.6988	46.1525	27.6094	57.0054	19.8305	25.2213	25.4661	22.3658	21.9828	
AT1G01130	10.9083	9.61491	9.39986	11.8928	21.139	18.1187	23.8977	15.8052	23.8798	22.6578	19.1523	18.1793	
AT1G01140	23.2109	23.9108	21.7184	24.1522	38.6314	37.5647	43.1604	36.7604	42.1787	42.635	34.7698	34.4891	
AT1G01150	17.8388	15.9405	15.8381	16.0472	40.3977	27.6094	46.1702	19.2386	12.718	10.914	16.6458	12.2485	
AT1G01160	15.5013	14.1272	15.2372	15.4362	27.6345	25.2201	22.8744	28.769	38.315	42.0605	29.3069	44.5457	
AT1G04007	4.83903	5.3135	5.10769	4.48017	12.9341	11.8136	11.7382	15.3908	22.0552	25.0831	17.16	24.8837	
AT1G01170	4.83903	4.13272	4.16341	5.33548	9.45842	9.02615	8.06624	7.57703	15.1865	15.3818	12.6611	16.3743	
AT1G04013	1.96842	1.4338	1.50226	1.91425	4.33036	3.58391	3.73214	3.61093	9.82022	9.63755	7.77661	10.1211	
AT1G01180	10.8673	10.7535	10.7304	11.1597	39.8279	32.3216	50.5043	14.9173	27.2068	23.5514	18.6382	11.9261	
AT1G08765	12.3026	11.5548	12.1039	11.6484	16.2958	11.5482	14.5072	11.8983	13.6839	9.31842	11.6328	11.0236	
AT1G01183	2.46052	2.61458	1.84563	2.36227	3.36173	2.52201	3.67194	1.89426	2.52213	2.36152	2.12089	1.99843	
AT1G01190	19.1101	16.9526	16.9541	16.821	35.4406	22.2335	37.2612	20.3041	13.4156	13.7223	15.9388	13.8601	
AT1G01200	11.7695	11.5126	9.82908	11.6892	45.4118	23.8928	57.3666	13.2006	18.7282	13.0203	16.453	10.1856	
AT1G01210	6.1513	7.21118	5.75151	6.47588	18.7459	20.2425	15.9519	21.0736	23.1822	27.6361	17.0314	21.9183	
AT1G04017	4.10087	2.95194	4.12049	3.42122	3.64662	4.18123	4.87586	3.72932	3.59538	2.61682	3.59909	3.28775	
AT1G01220	37.1539	36.5198	38.372	36.3301	51.5655	62.1212	58.6909	68.4301	67.239	77.1642	59.3851	68.0757	
AT1G04023	3.2807	2.69892	2.74699	3.90997	7.92	9.49073	8.30702	10.3592	19.4795	18.6368	13.8822	17.2768	
AT1G01225	12.7127	11.0909	10.7734	13.1961	34.1301	30.065	30.0979	23.915	26.4556	27.1255	21.5303	25.0127	
AT1G01230	12.4256	10.3318	11.4601	12.3001	16.8656	17.9859	17.6976	21.2512	35.4709	38.3587	30.1424	37.9702	
AT1G01240	14.23	13.0729	11.8893	14.3365	22.3355	24.8219	25.824	25.0989	30.5339	28.6573	25.0651	27.14	
AT1G01250	10.9083	10.7535	10.6446	9.612	35.8964	19.3133	41.1137	13.615	9.76656	9.57372	11.5685	9.41198	
AT1G01260	22.1037	21.5914	19.7869	21.179	35.2127	46.9227	38.0438	50.9082	59.1896	66.6331	43.7676	57.6322	
AT1G01270	1.23026	1.34946	1.67395	1.50697	1.99425	1.32738	1.5049	1.65748	1.23424	1.65944	1.54247	1.48271	
AT1G01280	16.0754	13.6633	15.8381	16.7395	24.6147	16.4595	23.055	14.6805	13.3083	12.382	12.9824	13.6667	
AT1G01290	14.066	13.0729	12.0181	14.6216	23.9879	28.9368	25.4026	26.6972	25.2213	25.2746	21.7231	25.2705	
AT1G01300	17.4697	18.3021	14.4646	17.3505	44.956	44.0689	45.2071	44.1007	96.485	119.225	61.4417	98.6324	
AT1G01305	5.33113	4.84962	5.19353	3.99142	8.03396	4.51308	7.52448	4.49886	3.64904	4.14861	5.33437	4.51259	
AT1G01310	7.42257	7.63289	7.08209	7.7792	16.5237	11.7473	17.9985	9.3529	11.7521	8.2334	10.5402	8.18713	
AT1G01320	71.3551	65.9971	62.9662	62.9668	72.9324	74.9303	79.5789	83.8801	88.6503	93.9501	86.6353	87.4798	
AT1G01335	1.23026	1.18078	1.67395	1.46624	2.39309	2.05743	2.9496	2.6638	2.30748	2.29769	2.69932	2.32076	
