H3K4me3 WT nuclear genes	cdkc2 nuclear genes	WT ATXR3-marked	cdkc2 ATXR3-marked	WT ATXR3-bound	cdkc2 ATXR3-bound
1.32509795455383	1.3154053271048	1.34487873433454	1.31877363362568	1.81605773395356	1.76728054257073
1.30728159557588	1.29807627973942	1.31712464362767	1.29712592549596	1.78301642709089	1.74330831409026
1.28265357343736	1.2733187378579	1.2832376740498	1.26877998428628	1.74512433444518	1.69883697217777
1.25348093220839	1.24121467836018	1.25720232375024	1.23275067009406	1.69658030663179	1.64758578505394
1.21952394067136	1.20491152772832	1.22857238523103	1.19655480768073	1.64620366926186	1.59332968467052
1.17831952979941	1.15929644833956	1.19007908387926	1.1502855172707	1.58187539477961	1.52537026126814
1.13084298307037	1.11088752053311	1.14842047554455	1.10907016506734	1.50733338328642	1.45550964155766
1.07663147742778	1.05717557258856	1.10179868905216	1.06389195200059	1.42185465541465	1.36566295117557
1.02211962188112	1.00029017523776	1.06128290888825	1.01933115771646	1.33616901481254	1.28524668878491
0.962665129270904	0.942261268575506	1.01475326945566	0.977152125916308	1.24900155856164	1.20626170026704
0.903456803325914	0.883063825854119	0.970141194695892	0.932526979258661	1.16193258101783	1.11654518885733
0.848490418532316	0.829352217338544	0.938742275630489	0.898290695207925	1.08299062552266	1.04285519941676
0.803869812255087	0.783797584078532	0.925782841640923	0.882890157549514	1.01963704273994	0.980893107606425
0.776490083793208	0.753928486718238	0.939263618851825	0.881789429518596	0.983075711400139	0.938025018590312
0.773148543622369	0.752682410640433	0.980652805591969	0.916985310158309	0.978509614245018	0.931585818642563
0.810078650943796	0.787420462324419	1.07403717603595	0.998686803918483	1.02434254418894	0.973008776932736
0.899547716847166	0.875257488897057	1.23558816021068	1.15126346890102	1.14114929332816	1.08443516200667
1.0569765104656	1.03459716745511	1.4918662678354	1.40189088987955	1.35230395467842	1.29261343438613
1.30459069601181	1.28045393463422	1.8860234674691	1.77894893977848	1.70097895721933	1.62730765433008
1.67073099360787	1.64506517809323	2.46915933014443	2.34527252636527	2.23177855427168	2.15577962707875
2.17608574128603	2.13969128445094	3.30913166210467	3.15255323805245	3.02136918101446	2.91055748363912
3.28657946284568	3.23624870415853	5.24479866037146	5.03966369834369	4.70361840222069	4.55669659413518
4.27017240685555	4.21573213866082	7.1935274488132	6.91677220478035	6.36341979423047	6.18449961618834
4.98335001572933	4.92271329339671	8.84151118070778	8.509257488792	7.77438900808614	7.55948484112972
5.41766839254136	5.36050569357548	10.0678800482538	9.6943072334991	8.798410168403	8.54402191191888
5.62866991006565	5.57580116692357	10.8678849954082	10.4997831636114	9.49592590161688	9.2128778745191
5.6685616197221	5.6221275271017	11.4185156699406	11.0027093234139	9.91835795243748	9.59834968641405
5.59167728127843	5.55044552847938	11.7266521582446	11.3176180271604	10.127452730163	9.81657048164213
5.4374713164063	5.40000643297103	11.8732597402715	11.4298388235912	10.195537437492	9.86746442061082
5.23452480563882	5.19943084191441	11.8785622358167	11.4144893576188	10.1672257742261	9.79244019788791
4.9977944718675	4.9718526824994	11.7316123172902	11.2881011107124	10.0069254854487	9.64983496384139
