ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01010	17.3058	19.6738	21.3783	17.1798	13.4204	14.1328	16.9059	10.3385
AT1G01020	14.4688	21.1006	19.1258	13.9729	15.6146	15.0582	13.9377	17.0374
AT1G01030	13.5231	18.2036	16.0132	17.8212	11.1241	13.5019	16.7769	12.2374
AT1G01040	66.3862	85.0079	59.3841	60.6562	47.4561	63.0508	73.6892	52.3782
AT1G01046	2.26961	3.37264	2.74395	1.23695	2.19421	2.3134	3.09727	2.47913
AT1G01050	20.7102	20.5385	17.5285	16.0345	14.6451	13.2916	17.8523	11.077
AT1G01060	30.4034	40.6447	32.3131	29.137	26.5346	29.4013	29.7682	21.7319
AT1G01070	11.2535	13.9662	16.9961	19.4704	13.5225	16.6986	20.3904	12.7121
AT1G01080	13.8068	19.7602	25.187	15.3015	18.5742	18.0446	17.3791	11.8154
AT1G01090	24.9185	23.0032	25.9652	17.8212	14.9512	23.2602	21.982	14.6638
AT1G01100	6.80884	9.25315	11.6311	9.11675	9.33814	12.9551	11.7008	8.43958
AT1G01110	20.7102	22.5275	24.9003	17.4547	18.8294	22.1666	21.0356	12.2901
AT1G01120	13.1921	13.75	16.7504	15.0724	18.2681	33.1868	14.626	11.7099
AT1G01130	10.6388	14.7878	12.3273	14.7059	11.9916	15.0582	11.2706	12.8704
AT1G01140	24.7293	31.6077	35.3437	28.633	29.035	39.4541	29.166	19.7803
AT1G01150	15.178	19.8467	17.8152	16.9966	7.90936	16.5303	18.1534	11.8154
AT1G01160	13.8068	18.2469	22.8936	15.4389	11.1241	22.0825	19.0568	11.3934
AT1G01170	5.29577	5.18868	9.00999	10.033	6.5316	16.0256	8.00128	6.1187
AT1G01180	6.33601	10.5936	23.6308	17.6837	14.8492	12.3662	8.34542	7.80662
AT1G01183	0.52012	1.94576	1.96582	1.83251	1.58187	2.39753	1.41958	1.89891
AT1G01190	14.4215	16.2579	14.7846	14.2936	18.4722	15.0161	17.8523	12.2374
AT1G01200	14.0905	15.5661	14.8255	13.4232	18.9825	12.2821	15.0992	9.54728
AT1G01210	8.32192	12.2799	13.4331	4.9936	6.07235	5.84661	6.75377	3.1121
AT1G01220	46.7635	56.5567	44.9681	32.3897	28.4227	41.5992	39.4042	30.6462
AT1G01225	12.9084	25.2516	21.583	11.6823	11.0731	12.913	10.0231	8.33409
AT1G01230	14.9889	23.2626	26.8662	13.2857	10.971	12.4503	16.3037	7.27914
AT1G01240	12.7193	22.9599	17.979	20.2951	15.4615	20.2738	16.992	14.0836
AT1G01250	8.6529	8.864	10.4024	9.75813	11.4813	8.16001	10.5393	4.64177
AT1G01260	21.2303	33.467	33.3779	23.9143	14.2879	22.3349	26.757	14.8748
AT1G01270	0.425553	1.42689	1.88391	2.10739	2.75552	0.841238	1.89278	2.53188
AT1G01280	14.6579	16.4741	21.1735	14.202	14.3389	14.8058	15.3143	10.3912
AT1G01290	15.1308	20.4088	30.0197	16.2636	15.9208	20.4	15.8735	15.244
AT1G01300	17.8259	11.7178	36.4495	18.6458	21.1256	39.1176	13.9807	12.5011
AT1G01305	6.28872	3.45912	6.10222	4.39803	3.2658	6.72991	6.19454	3.85056
AT1G01310	6.95069	7.35064	13.515	5.58916	8.06244	7.61321	11.5717	7.85936
AT1G01320	69.2705	96.2933	59.8346	71.5138	52.5079	82.1469	98.9836	59.1298
AT1G01335	2.55332	2.11871	1.802	1.69507	2.50038	2.35547	1.16148	2.53188
AT1G01340	19.7173	29.8349	21.0097	24.235	20.2071	23.7229	25.8966	18.4088
AT1G01350	14.6579	22.787	22.3612	17.0882	14.8492	14.5534	16.0886	13.2923
AT1G01355	11.0171	14.831	10.4844	10.3079	6.78674	10.7258	12.9053	8.91431
AT1G01360	9.31487	13.9662	21.0097	12.0946	13.5735	13.1654	9.11974	8.86156
AT1G01370	18.2988	26.2893	24.7365	18.7374	19.4927	18.2969	17.9814	14.7165
AT1G01380	4.58651	7.91274	8.55949	7.69655	5.40898	6.60372	7.48507	5.69672
AT1G01390	15.0835	13.7068	18.5524	13.7897	11.4813	11.9456	12.5181	12.3429
AT1G01400	7.61266	18.5495	10.812	10.2621	10.92	11.2726	13.8947	10.5495
AT1G01410	6.85613	9.55583	6.3889	7.97143	10.3587	9.54805	12.3461	9.07255
AT1G01420	11.9155	16.0417	20.3954	17.9586	15.3084	11.9035	11.5287	10.3385
AT1G01430	15.7927	23.2194	36.9819	22.1734	19.2886	27.0879	15.0992	14.5055
AT1G01440	27.7555	34.3318	30.634	21.3488	20.7684	26.1625	25.7246	16.7209
AT1G01448	26.668	30.1808	39.1935	27.4877	19.3397	25.3633	30.0263	18.6726
AT1G01450	11.0644	15.0472	14.9484	11.8655	8.47067	13.0813	15.1422	10.4967
AT1G01453	5.39033	11.7178	15.7265	12.5527	13.5735	11.6511	10.0231	8.17585
AT1G01460	17.0221	24.4733	17.119	21.8527	20.7174	22.2928	27.6604	15.5605
AT1G01470	10.0241	8.73429	13.9655	15.2557	10.6138	19.2223	9.20578	7.38464
AT1G01480	15.4145	17.4253	24.2041	21.8527	17.1454	17.4978	21.2507	17.9869
AT1G01490	11.3008	15.3066	18.1429	17.9586	19.3397	45.5951	24.0469	16.5627
AT1G01500	17.8259	25.1651	41.1183	19.0581	17.8598	23.8491	14.1528	12.9231
AT1G01510	25.013	41.3365	71.4247	28.633	26.6877	30.7473	27.0151	22.1539
AT1G01520	13.665	18.4631	20.723	17.867	19.4927	14.5955	16.992	10.3912
AT1G01530	5.4849	6.13994	6.51177	9.9872	6.8888	8.37032	9.29181	5.64397
AT1G01540	20.4738	25.4678	39.4392	24.235	17.4006	36.1312	21.6809	18.5671
AT1G01550	19.7646	17.2524	16.7094	14.1562	9.74637	32.0512	20.5624	19.7275
AT1G01560	11.7736	18.2901	20.3954	14.3394	17.9109	14.1749	17.2071	12.8704
AT1G01570	12.5302	18.0739	26.6204	19.7911	19.5438	13.0392	14.669	12.7649
AT1G01580	21.5613	28.7107	28.791	28.9079	32.9131	31.4623	25.3374	22.7869
AT1G01590	26.3843	26.5488	25.5966	27.167	19.7989	23.5126	25.5955	19.9385
AT1G01600	17.3058	19.6305	28.5863	20.2951	18.4211	14.8899	20.1753	15.244
AT1G01610	20.001	22.5708	28.2996	22.265	14.492	28.6442	21.896	17.4066
AT1G01620	13.1921	14.7013	20.8868	19.0581	18.6763	94.6814	15.6584	14.2418
AT1G01630	17.7786	18.7225	19.7401	15.3931	11.9406	16.6565	14.8411	13.1869
AT1G01640	14.1851	13.3176	16.1361	11.5906	7.29702	13.6281	12.6472	8.28134
AT1G01650	42.508	60.7076	40.0945	41.7355	31.3313	40.0429	45.8568	27.2177
AT1G01660	23.0744	26.592	18.3067	21.0281	11.2772	18.0446	20.5624	16.2989
AT1G01670	27.2827	34.9804	22.6888	24.6473	17.6557	20.6945	25.5095	18.6726
AT1G01680	14.6106	18.0307	13.3102	14.1103	9.59329	13.5019	16.4758	12.3429
AT1G01690	29.505	44.7524	39.5621	27.0754	20.7684	23.4705	24.477	20.2023
AT1G01695	17.164	15.9552	15.6856	15.3931	10.6138	14.301	15.0562	11.1297
AT1G01700	17.1167	25.684	15.6856	22.3108	11.1752	17.4557	18.6266	13.1341
AT1G01710	33.8078	42.7202	40.2583	21.1197	24.6976	24.1015	27.0151	23.3144
AT1G01715	10.0714	17.8577	22.7707	12.0946	13.9817	11.7353	15.8735	9.2308
AT1G01720	11.7263	16.8632	30.0197	20.7074	16.278	27.9712	13.2925	11.7627
AT1G01725	10.828	15.1769	19.2896	19.1039	22.9627	11.1043	11.5287	10.655
AT1G01730	12.6247	17.8577	19.3715	14.7975	15.4615	13.4177	9.11974	9.60003
AT1G01740	20.1901	28.4513	23.9584	17.8212	21.6869	18.4652	19.9602	18.1979
AT1G01750	7.89637	12.0205	9.05095	9.84976	4.28636	10.3893	12.0019	7.96486
AT1G01760	22.2706	27.2838	27.3986	19.9286	17.6047	17.4136	17.9814	8.33409
AT1G01770	37.4013	47.3467	37.2686	35.9173	37.4546	37.0145	37.4684	27.3759
AT1G01780	11.5845	15.739	13.8017	11.8197	7.09291	12.4083	13.6366	8.59783
AT1G01790	56.7876	86.3484	59.8346	49.1572	40.2102	48.6236	58.1169	43.6748
AT1G01800	16.6438	27.6297	19.9039	12.9192	15.5125	14.974	11.7008	10.866
AT1G01810	8.32192	8.30189	16.6685	6.18473	6.93982	6.43547	7.91525	3.63957
AT1G01820	18.7716	21.706	20.6411	16.5842	11.7875	20.3159	20.3474	13.3978
AT1G01830	19.8591	38.8719	48.9816	17.9128	14.6961	18.6334	18.7557	12.8704
AT1G01840	9.74043	11.2854	19.5353	9.62069	8.92992	8.79094	8.81862	7.43738
AT1G01860	22.176	27.8027	38.2515	20.1118	16.7882	16.3621	17.5942	12.7121
AT1G01870	0.661971	3.06997	2.12963	1.19113	2.75552	1.17773	1.37656	0.685716
AT1G01880	22.1287	34.8939	29.692	18.7833	25.5141	18.7175	22.4982	16.1407
AT1G01890	0.992956	1.55661	1.84295	2.56552	4.18431	1.26186	1.20449	2.79561
AT1G01900	25.1076	28.754	35.3028	25.4719	21.9421	25.7839	24.7352	21.7847
AT1G01910	25.1076	31.9969	31.8626	19.333	19.7989	23.765	20.6915	13.8726
AT1G01920	21.7505	36.2776	35.8352	25.4719	20.7684	26.9196	26.1978	21.2045
AT1G01930	27.6136	36.9694	48.5721	29.2744	20.9726	24.9848	28.9939	17.9341
AT1G01940	21.0885	29.7917	28.0948	18.0044	18.166	13.6281	18.6697	10.7605
AT1G01950	49.6005	60.8373	42.0603	40.3611	35.7707	41.5151	48.0937	36.8177
AT1G01960	67.1427	90.629	60.9403	52.8222	49.9055	67.0467	63.0209	44.7298
AT1G01970	15.9346	23.522	19.781	17.3631	12.655	17.2033	15.7875	11.7627
AT1G01980	15.4617	22.9599	19.6172	20.1576	13.2673	15.647	16.949	13.7143
AT1G01990	16.4547	19.89	24.2451	13.2857	15.4105	15.4367	13.1634	9.07255
AT1G02000	24.6348	24.9057	42.4698	21.8985	17.8088	20.9468	16.8629	16.2989
AT1G02010	35.7937	52.4922	40.3812	30.0532	26.7387	34.2805	37.8125	26.6374
AT1G02020	18.9607	33.5535	38.0467	23.7769	13.5735	27.4664	23.6167	16.2989
AT1G02030	16.8803	19.6305	19.2077	13.9271	8.06244	14.6796	15.3143	13.9781
AT1G02040	6.38329	12.1934	13.0235	10.2163	6.02132	8.49651	10.7544	5.90771
AT1G02050	15.1308	19.2846	13.2693	14.0645	12.3998	13.5019	16.8629	11.3934
AT1G02060	24.9185	26.8947	32.9684	19.8828	17.5026	19.3905	16.6478	15.6132
AT1G02065	16.4074	19.1981	18.1429	24.1434	17.2985	16.1518	17.4221	12.5539
AT1G02067	2.83702	2.46463	1.802	3.98572	4.13328	1.85072	1.80674	1.74066
AT1G02070	6.66699	6.61557	7.61754	10.033	3.11271	6.5196	7.48507	6.75167
AT1G02080	112.299	183.982	84.8987	93.8247	81.4409	107.594	111.717	79.9651
AT1G02090	20.332	38.0504	33.5827	20.9823	15.1553	22.9237	23.7888	13.5561
