ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01010	3.35714	3.37264	2.2525	4.12315	2.50038	2.73402	2.79615	2.74286	
AT1G01020	2.78973	5.23192	2.74395	4.48966	2.19421	3.61732	4.99005	3.32309	
AT1G01030	2.93158	2.94025	1.26959	2.38227	2.70449	2.27134	4.25875	2.58462	
AT1G01040	6.0523	5.62107	3.23541	3.2069	3.57197	3.61732	6.36661	3.95606	
AT1G01050	4.72836	5.27516	3.03063	3.06946	4.23533	3.82763	6.3236	3.63957	
AT1G01060	2.50603	6.44262	4.54595	3.34434	2.60243	3.36495	3.31236	4.21979	
AT1G01070	1.89135	3.89151	5.03741	3.39015	3.01066	2.56578	2.79615	2.26814	
AT1G01080	4.49194	3.89151	4.505	3.98572	6.78674	3.36495	5.46324	1.89891	
AT1G01090	2.69517	4.97249	2.703	3.75665	2.55141	4.03794	6.62472	2.21539	
AT1G01100	1.79678	3.58884	3.89068	4.07734	4.74561	2.90227	5.03307	3.48133	
AT1G01110	2.83702	6.13994	2.703	3.29852	3.77608	2.60784	3.31236	1.79341	
AT1G01120	1.18209	2.85378	2.04773	2.10739	0.765422	2.90227	2.53804	3.16484	
AT1G01130	2.93158	3.93475	2.04773	5.26847	4.8987	3.36495	3.6565	4.95826	
AT1G01140	4.16096	4.75629	5.93841	2.70296	3.87814	4.20619	6.40963	2.53188	
AT1G01150	2.8843	3.41588	5.32409	3.11527	2.44935	3.23877	4.73194	2.47913	
AT1G01160	2.93158	3.37264	4.58691	5.86404	3.87814	9.75836	6.45265	3.74507	
AT1G01170	3.68812	4.71305	4.30022	6.09311	2.95963	9.37981	7.74318	4.1143	
AT1G01180	1.84406	3.19969	2.703	3.66503	2.19421	3.61732	2.53804	4.37803	
AT1G01190	3.92454	2.50786	2.29345	2.19902	4.43945	3.28083	3.44141	3.42858	
AT1G01200	3.35714	2.89702	2.78491	3.5734	3.2658	2.27134	3.26934	2.16264	
AT1G01210	4.53923	6.01023	4.42309	2.51971	3.11271	3.57526	4.30177	2.26814	
AT1G01220	3.49899	5.44812	4.87359	5.17685	5.15384	3.8697	5.20514	3.74507	
AT1G01225	4.44466	6.65881	11.1396	4.44384	3.87814	3.70145	3.87159	2.05715	
AT1G01230	3.54627	6.70205	4.42309	4.39803	6.22543	3.28083	5.80738	2.74286	
AT1G01240	1.18209	2.5511	2.17059	4.90197	3.31683	3.5332	5.67833	3.58682	
AT1G01250	0.614687	2.16195	2.94873	1.83251	3.46991	2.48165	2.45201	4.0088	
AT1G01260	2.83702	4.49686	4.99645	4.21478	5.10281	2.6499	4.04366	4.95826	
AT1G01280	3.168	4.02123	5.03741	4.35222	2.75552	2.90227	3.61348	3.05935	
AT1G01290	2.50603	2.89702	4.13641	2.93202	5.15384	3.95382	3.05425	3.63957	
AT1G01300	3.78269	1.29717	4.42309	3.9399	4.5415	1.80866	2.1939	1.84616	
AT1G01305	3.26257	2.63758	2.90777	2.38227	2.29627	1.97691	3.44141	1.42418	
AT1G01310	2.3169	3.02673	4.91454	1.92414	2.70449	3.36495	9.59294	4.0088	
AT1G01320	2.3169	3.06997	5.03741	1.87833	3.06169	3.36495	9.80803	4.0088	
AT1G01340	3.97182	4.5401	2.78491	4.16897	3.52094	6.43547	4.64591	4.74727	
AT1G01350	3.168	3.5456	4.21832	1.69507	2.19421	4.03794	3.82857	2.16264	
AT1G01355	4.30281	4.71305	3.35827	4.58128	3.98019	3.65939	5.72135	2.95385	
AT1G01360	1.89135	6.05347	4.9555	3.02365	4.23533	3.19671	3.09727	2.79561	
AT1G01370	1.51308	5.3184	4.79168	3.98572	2.44935	2.43959	4.17271	1.37143	
AT1G01380	1.65493	3.19969	2.37536	2.97783	2.85757	2.35547	3.52745	1.58242	
AT1G01390	1.65493	3.19969	2.37536	2.97783	2.85757	2.35547	3.52745	1.52967	
AT1G01400	1.65493	5.23192	4.0545	3.11527	1.9901	2.60784	3.61348	3.0066	
AT1G01410	2.45875	3.5456	3.19445	3.52759	3.57197	2.86021	4.51685	3.53408	
