ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01010	4.39738	4.5401	8.39568	4.44384	2.60243	2.77609	3.35538	2.1099	
AT1G01020	3.30985	2.81054	3.1535	3.39015	2.85757	1.80866	2.49502	4.37803	
AT1G01030	3.35714	2.68082	3.80877	3.11527	2.34729	2.90227	2.9252	2.95385	
AT1G01040	3.73541	6.18318	6.3889	5.08522	4.13328	3.28083	4.21573	2.37363	
AT1G01050	5.39033	4.92925	7.57659	5.17685	4.49047	3.40701	2.96822	1.37143	
AT1G01060	3.87726	3.84827	6.06127	5.95567	5.66412	3.02846	2.58106	2.26814	
AT1G01070	1.60764	2.7673	3.64495	4.9936	2.34729	4.79506	3.39839	3.53408	
AT1G01080	2.69517	5.36164	5.81554	4.44384	3.67402	4.45856	4.55987	3.1121	
AT1G01090	4.20824	4.79953	12.1635	6.36798	5.66412	5.55217	3.6565	3.16484	
AT1G01100	3.64084	4.62658	8.88713	3.34434	6.07235	8.11795	4.21573	4.58902	
AT1G01110	3.21529	5.05897	3.80877	3.06946	3.31683	2.86021	3.18331	3.05935	
AT1G01120	1.51308	3.28617	3.07159	2.33645	4.94973	6.1831	2.32295	2.0044	
AT1G01130	2.6006	4.88601	7.78136	3.11527	4.33739	5.88867	4.30177	3.05935	
AT1G01140	3.02615	4.49686	10.812	3.75665	5.46001	9.50599	4.47384	4.21979	
AT1G01150	3.59356	5.36164	8.02709	4.35222	1.42879	3.65939	3.82857	2.90111	
AT1G01160	3.59356	5.75079	12.3273	4.76453	1.88804	4.62681	3.35538	2.63737	
AT1G01170	4.9175	3.11321	5.73363	5.77242	4.69459	7.9497	4.60289	4.37803	
AT1G01180	2.3169	3.06997	5.8565	4.26059	5.51104	1.97691	2.79615	2.26814	
AT1G01190	3.40442	4.5401	4.75072	3.43596	2.60243	5.25774	6.40963	2.95385	
AT1G01200	4.20824	5.36164	3.604	4.21478	3.52094	4.16413	3.18331	1.95165	
AT1G01210	5.24848	7.17768	8.06804	2.70296	2.85757	3.40701	2.40899	1.42418	
