GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	v1_109	v1_109-Q	v1_110	v1_110-Q	v1_111	v1_111-Q	v1_119	v1_119-Q	v1_120	v1_120-Q	v1_121	v1_121-Q	v1_122	v1_122-Q
B3GALT1	AthEX0017106	chr1:3958735-3958798	64	chr1:3958651,3958735-3958798,3958905	S	90.24	LOW,LOW,12=25=2,B1,S@35.19,3.81	84.00	VLOW,VLOW,11=10=2,OK,S@19.32,3.68	61.90	N,N,3=10=4,B1,S@10.52,6.48	60.00	N,N,7=8=5,OK,S@12.00,8.00	100.00	N,N,7=8=0,OK,S@15.00,0.00	92.31	OK,OK,20=28=2,OK,S@46.16,3.84	70.37	VLOW,VLOW,9=10=4,OK,S@16.19,6.81
	AthEX0000658	chr1:4043444-4043479	36	chr1:4043773,4043444-4043479,4043219	S	21.54	VLOW,VLOW,1=4=11,B1,S@3.45,12.55	0.00	N,N,0=0=8,Bn,S@0.00,8.00	0.00	OK,OK,0=0=25,Bn,S@0.00,25.00	0.00	LOW,LOW,0=0=15,Bn,S@0.00,15.00	0.00	OK,OK,0=0=24,Bn,S@0.00,24.00	0.00	N,N,0=0=9,Bn,S@0.00,9.00	4.80	VLOW,VLOW,0=1=12,Bn,S@0.62,12.38
TTN10	AthEX0032925	chr1:6584453-6584556	104	chr1:6584318+6584354,6584426+6584453-6584556+6584609+6584727+6584739,6585037	S	48.24	OK,OK,36=5=22,B2,S@30.39,32.61	28.00	OK,OK,21=7=36,B1,S@17.92,46.08	45.71	LOW,LOW,28=4=19,B2,S@23.31,27.69	51.35	OK,OK,20=18=18,OK,S@28.76,27.24	35.04	OK,OK,28=13=38,B1,S@27.68,51.32	31.03	OK,OK,23=4=30,B2,S@17.69,39.31	31.48	OK,OK,24=10=37,B1,S@22.35,48.65
BCA3	AthEX0017266	chr1:8396679-8396727	49	chr1:8396406,8396679-8396727,8396965	S	76.55	VLOW,VLOW,33=6=6,B2,S@34.45,10.55	94.79	OK,OK,48=24=2,OK,S@70.14,3.86	100.00	OK,OK,26=21=0,OK,S@47.00,0.00	88.50	SOK,SOK,91=76=11,OK,S@157.53,20.47	90.02	SOK,SOK,63=44=6,OK,S@101.72,11.28	100.00	N,N,9=6=0,OK,S@15.00,0.00	93.79	SOK,SOK,83=66=5,OK,S@144.44,9.56
	AthEX0001630	chr1:10132444-10132535	92	chr1:10132830,10132444-10132535,10132087	S	79.71	OK,OK,25=30=7,OK,S@49.42,12.58	100.00	OK,OK,39=32=0,OK,S@71.00,0.00	100.00	OK,OK,25=36=0,OK,S@61.00,0.00	93.94	OK,OK,25=37=2,OK,S@60.12,3.88	93.04	SOK,SOK,57=50=4,OK,S@103.27,7.73	96.30	OK,OK,31=21=1,OK,S@51.04,1.96	98.06	SOK,SOK,45=56=1,OK,S@100.02,1.98
	AthEX0002686	chr1:22480005-22480037	33	chr1:22479842,22479944+22479958+22480005-22480037,22480038+22480130+22480138	S	77.48	LOW,SOK,66=14=17,OK,S@75.16,21.84	84.67	VLOW,OK,56=6=7,B1,S@58.42,10.58	84.06	N,N,83=1=8,B2,S@77.34,14.66	89.33	VLOW,OK,59=7=5,B1,S@63.42,7.58	87.95	LOW,SOK,68=13=8,OK,S@78.28,10.72	95.63	LOW,OK,50=10=2,OK,S@59.29,2.71	93.45	VLOW,OK,57=8=3,OK,S@63.55,4.45
	AthEX0002752	chr1:23182437-23182555	119	chr1:23182685,23182437-23182555,23182355+23182358+23182361	S	36.37	OK,OK,5=28=29,B2,S@22.55,39.45	25.65	OK,OK,6=29=51,B1,S@22.06,63.94	25.84	OK,OK,3=22=36,B2,S@15.76,45.24	28.60	OK,OK,8=19=34,B1,S@17.45,43.55	19.23	SOK,SOK,3=35=80,B2,S@22.69,95.31	25.51	OK,OK,8=26=50,B1,S@21.43,62.57	19.07	OK,OK,3=20=49,B2,S@13.73,58.27
	AthEX0004175	chr2:8397154-8397250	97	chr2:8397637,8397154-8397250,8396596	S	67.86	OK,OK,15=23=9,OK,S@31.89,15.11	88.46	OK,OK,21=25=3,OK,S@43.35,5.65	100.00	OK,OK,18=28=0,OK,S@46.00,0.00	81.40	OK,OK,31=39=8,OK,S@63.49,14.51	80.00	OK,OK,34=30=8,OK,S@57.60,14.40	92.50	OK,OK,40=34=3,OK,S@71.23,5.77	89.87	OK,OK,34=37=4,OK,S@67.40,7.60
ELF3	AthEX0020683	chr2:11061299-11061333	35	chr2:11060836,11061156+11061296+11061299-11061333+11061473+11061686,11062017	S	52.87	OK,SOK,8=13=39,B1,S@31.72,28.28	22.25	OK,OK,3=7=45,B1,S@12.24,42.76	52.17	OK,SOK,12=5=33,B2,S@26.09,23.91	20.25	OK,OK,5=7=63,B1,S@15.19,59.81	15.53	SOK,SOK,5=11=87,OK,S@16.00,87.00	13.29	OK,OK,5=6=75,B1,S@11.43,74.57	12.35	OK,OK,3=5=71,B1,S@9.76,69.24
UBA2B	AthEX0033022	chr2:17128775-17128808	34	chr2:17128506,17128775-17128808+17129205,17129295	S	19.10	SOK,SOK,13=0=117,B3,S@24.83,105.17	16.88	SOK,SOK,13=0=136,B3,S@25.15,123.85	53.82	OK,SOK,29=6=56,B2,S@48.98,42.02	28.49	SOK,SOK,27=0=144,B3,S@48.72,122.28	40.64	SOK,SOK,40=2=126,B2,S@68.28,99.72	19.76	SOK,SOK,18=3=163,B2,S@36.36,147.64	34.23	SOK,SOK,24=0=98,B3,S@41.76,80.24
	AthEX0005466	chr2:17597957-17598029	73	chr2:17597711,17597957-17598029,17598260	S	59.72	SOK,SOK,43=43=29,OK,S@68.68,46.32	87.16	SOK,SOK,44=51=7,OK,S@88.90,13.10	68.09	SOK,SOK,65=63=30,OK,S@107.58,50.42	74.57	SOK,SOK,47=82=22,OK,S@112.60,38.40	90.97	SOK,SOK,71=70=7,OK,S@134.64,13.36	86.16	SOK,SOK,58=79=11,OK,S@127.52,20.48	90.55	SOK,SOK,53=62=6,OK,S@109.57,11.43
	AthEX0005918	chr3:733672-733757	86	chr3:733561,733646+733666+733672-733757,733843	S	94.23	SOK,SOK,39=59=3,OK,S@95.17,5.83	95.29	OK,OK,48=33=2,OK,S@79.09,3.91	75.86	OK,OK,19=25=7,OK,S@38.69,12.31	73.53	LOW,LOW,13=37=9,B1,S@43.38,15.62	78.95	N,N,4=11=2,B1,S@13.42,3.58	89.36	OK,OK,31=53=5,OK,S@79.53,9.47	73.63	OK,OK,33=34=12,OK,S@58.17,20.83
RH40	AthEX0029257	chr3:1988133-1988194	62	chr3:1988289,1988133-1988194,1988040	S	46.37	SOK,SOK,38=45=48,OK,S@60.74,70.26	43.20	SOK,SOK,35=38=48,OK,S@52.27,68.73	22.27	SOK,SOK,29=18=82,OK,S@28.73,100.27	35.10	SOK,SOK,28=25=49,OK,S@35.80,66.20	35.87	SOK,SOK,28=38=59,OK,S@44.84,80.16	42.33	SOK,SOK,33=36=47,OK,S@49.10,66.90	28.89	SOK,SOK,20=32=64,OK,S@33.51,82.49
TGA6	AthEX0032154	chr3:3906109-3906150	42	chr3:3905620,3906077+3906109-3906150,3906244+3906260	S	42.88	OK,OK,1=29=20,B2,S@21.44,28.56	54.44	VLOW,VLOW,13=14=12,OK,S@21.23,17.77	44.84	VLOW,VLOW,2=14=10,B2,S@11.66,14.34	32.53	LOW,LOW,4=14=19,B1,S@12.04,24.96	52.55	LOW,LOW,9=30=18,B1,S@29.95,27.05	36.27	VLOW,VLOW,4=8=11,OK,S@8.34,14.66	23.69	OK,OK,4=11=25,B1,S@9.48,30.52
	AthEX0007156	chr3:9456874-9456908	35	chr3:9457090,9456874-9456908+9456929,9456751	S	19.01	SOK,SOK,30=6=131,OK,S@31.75,135.25	28.05	SOK,SOK,29=14=127,B1,S@47.69,122.31	24.81	SOK,SOK,5=14=114,B2,S@33.00,100.00	23.21	SOK,SOK,54=10=172,OK,S@54.78,181.22	23.84	SOK,SOK,44=17=206,OK,S@63.65,203.35	26.97	SOK,SOK,34=22=195,B1,S@67.69,183.31	36.30	SOK,SOK,51=17=120,OK,S@68.24,119.76
	AthEX0007319	chr3:10620916-10621085	170	chr3:10620699,10620916-10621085,10621194	S	39.66	SOK,SOK,42=100=108,B1,S@99.15,150.85	46.47	SOK,SOK,49=76=72,OK,S@91.55,105.45	55.45	SOK,SOK,60=62=49,OK,S@94.82,76.18	44.39	SOK,SOK,59=115=109,OK,S@125.62,157.38	48.87	SOK,SOK,71=145=113,B1,S@160.78,168.22	44.59	SOK,SOK,64=105=105,OK,S@122.18,151.82	60.80	SOK,SOK,73=110=59,OK,S@147.14,94.86
ZIFL2	AthEX0034484	chr3:15659473-15659619	147	chr3:15658851,15659468+15659473-15659619,15659827+15659833	S	28.17	LOW,LOW,10=4=18,B1,S@9.01,22.99	0.00	N,N,0=0=3,Bn,S@0.00,3.00	41.38	N,N,1=6=5,B2,S@4.97,7.03	0.00	VLOW,VLOW,0=0=12,Bn,S@0.00,12.00	0.00	N,N,0=0=2,Bn,S@0.00,2.00	8.44	OK,OK,0=4=23,Bn,S@2.28,24.72	10.53	VLOW,VLOW,0=3=13,Bn,S@1.68,14.32
	AthEX0007926	chr3:19943017-19943052	36	chr3:19942943,19943017-19943052+19943077,19943310+19943313	S	88.89	SOK,SOK,16=94=11,OK,S@107.56,13.44	70.64	SOK,SOK,15=141=45,OK,S@141.99,59.01	63.45	SOK,SOK,9=69=33,OK,S@70.43,40.57	77.05	SOK,SOK,14=116=28,OK,S@121.74,36.26	60.95	SOK,SOK,9=105=48,B1,S@98.74,63.26	70.58	SOK,SOK,15=164=50,OK,S@161.63,67.37	67.55	SOK,SOK,13=112=43,OK,S@113.48,54.52
	AthEX0008806	chr4:5378698-5378808	111	chr4:5380531,5378698-5378808+5378821+5378832,5378202+5378205	S	51.72	SOK,SOK,51=69=56,OK,S@91.03,84.97	31.74	SOK,SOK,37=56=100,OK,S@61.26,131.74	33.91	SOK,SOK,27=52=77,OK,S@52.90,103.10	28.76	SOK,SOK,18=91=135,B2,S@70.17,173.83	24.29	SOK,SOK,44=58=159,OK,S@63.40,197.60	29.07	SOK,SOK,30=70=122,B1,S@64.54,157.46	27.86	SOK,SOK,23=72=123,B1,S@60.73,157.27
	AthEX0008822	chr4:5781045-5781092	48	chr4:5782042,5781045-5781092+5781106,5780541	S	23.53	OK,OK,3=13=26,B1,S@9.88,32.12	7.69	OK,OK,4=1=30,B1,S@2.69,32.31	8.33	VLOW,VLOW,1=1=11,OK,S@1.08,11.92	23.29	OK,OK,5=12=28,B1,S@10.48,34.52	16.67	OK,OK,7=5=30,OK,S@7.00,35.00	9.59	OK,OK,5=2=33,B1,S@3.84,36.16	5.26	OK,OK,1=2=27,OK,S@1.58,28.42
	AthEX0009494	chr4:11200523-11200611	89	chr4:11200923,11200509+11200523-11200611,11200416	S	67.91	OK,OK,19=42=14,B1,S@50.93,24.07	87.33	OK,OK,27=44=5,OK,S@66.37,9.63	81.37	OK,OK,30=33=7,OK,S@56.96,13.04	84.73	OK,OK,29=51=7,OK,S@73.72,13.28	85.35	SOK,SOK,40=80=10,OK,S@110.95,19.05	84.09	SOK,SOK,32=66=9,B1,S@89.98,17.02	87.56	OK,OK,24=34=4,OK,S@54.29,7.71
	AthEX0010098	chr4:15502412-15502446	35	chr4:15502301,15502412-15502446,15502512+15502516	S	63.45	SOK,SOK,23=452=171,B2,S@409.89,236.11	41.69	SOK,SOK,25=237=229,B2,S@204.70,286.30	36.74	SOK,SOK,8=215=240,B2,S@170.11,292.89	53.43	SOK,SOK,50=396=243,B2,S@368.13,320.87	56.34	SOK,SOK,31=481=248,B2,S@428.18,331.82	51.31	SOK,SOK,29=428=271,B2,S@373.54,354.46	37.44	SOK,SOK,13=257=282,B2,S@206.67,345.33
CYP95	AthEX0019911	chr4:15652483-15652530	48	chr4:15652716,15652483-15652530,15652156	S	24.45	VLOW,VLOW,1=7=12,B2,S@4.89,15.11	43.46	VLOW,VLOW,2=17=12,B2,S@13.47,17.53	29.94	OK,OK,3=19=25,B2,S@14.07,32.93	48.20	VLOW,VLOW,6=17=12,B1,S@16.87,18.13	40.77	VLOW,VLOW,3=14=12,B1,S@11.82,17.18	28.80	VLOW,VLOW,3=7=12,B1,S@6.34,15.66	48.37	VLOW,VLOW,2=25=14,B2,S@19.83,21.17
THY-2	AthEX0032278	chr4:16514106-16514147	42	chr4:16514250,16514106-16514147,16513877	S	79.41	OK,OK,18=36=7,OK,S@48.44,12.56	57.75	OK,OK,16=25=15,OK,S@32.34,23.66	54.29	OK,OK,16=41=24,B1,S@43.97,37.03	68.00	OK,OK,22=46=16,B1,S@57.12,26.88	59.76	SOK,SOK,31=70=34,B1,S@80.68,54.32	78.08	OK,OK,26=31=8,OK,S@50.75,14.25	58.49	OK,OK,25=37=22,OK,S@49.13,34.87
LIMYB	AthEX0024200	chr5:1745051-1745066	16	chr5:1745137,1744940+1744977+1745051-1745066,1744765+1744778+1744781	S	28.59	OK,OK,3=36=50,B2,S@25.45,63.55	38.43	OK,OK,2=41=35,B2,S@29.98,48.02	40.01	OK,OK,1=38=36,B2,S@30.01,44.99	32.35	SOK,SOK,2=48=53,B2,S@33.32,69.68	32.30	OK,OK,8=36=49,B1,S@30.04,62.96	33.54	OK,OK,1=36=37,B2,S@24.82,49.18	45.33	OK,OK,0=39=27,B3,S@29.92,36.08
FY	AthEX0021756	chr5:4327905-4327938	34	chr5:4328196,4327868+4327905-4327938+4327943+4327948,4327718	S	0.00	OK,OK,0=0=85,Bn,S@0.00,85.00	2.00	SOK,SOK,0=4=98,Bn,S@2.04,99.96	10.54	SOK,SOK,0=2=99,B3,S@10.65,90.35	0.61	OK,OK,0=1=82,Bn,S@0.51,82.49	9.38	SOK,SOK,0=6=132,B3,S@12.94,125.06	32.02	OK,SOK,5=8=74,B2,S@27.86,59.14	17.66	SOK,SOK,5=6=116,B1,S@22.43,104.57
	AthEX0012023	chr5:8474617-8474730	114	chr5:8475116,8474617-8474730+8475048,8474495	S	67.02	SOK,SOK,66=70=33,OK,S@113.26,55.74	77.06	OK,OK,27=41=10,OK,S@60.11,17.89	71.85	OK,OK,25=37=12,OK,S@53.17,20.83	71.86	SOK,SOK,32=66=19,B1,S@84.08,32.92	74.92	SOK,SOK,99=83=30,OK,S@158.83,53.17	76.78	SOK,SOK,65=56=18,OK,S@106.72,32.28	86.23	SOK,SOK,74=66=11,OK,S@130.21,20.79
	AthEX0012093	chr5:8888098-8888248	151	chr5:8887956,8888098-8888248+8888268+8888304,8888531	S	51.57	SOK,SOK,114=1=54,B2,S@87.15,81.85	30.13	SOK,SOK,66=20=100,B1,S@56.04,129.96	37.85	SOK,SOK,107=17=102,B2,S@85.54,140.46	37.25	SOK,SOK,108=6=96,B2,S@78.22,131.77	37.04	SOK,SOK,113=10=105,B2,S@84.45,143.55	46.95	SOK,SOK,152=14=94,B2,S@122.07,137.93	35.19	SOK,SOK,121=10=121,B2,S@88.68,163.32
	AthEX0012402	chr5:14819063-14819105	43	chr5:14819192,14819035+14819063-14819105+14819124,14818453+14818457	S	37.50	OK,OK,5=19=20,B1,S@16.50,27.50	33.33	OK,OK,5=17=22,B1,S@14.67,29.33	52.32	OK,OK,22=46=31,B1,S@51.80,47.20	53.49	OK,OK,9=37=20,B1,S@35.30,30.70	39.58	OK,OK,6=32=29,B2,S@26.52,40.48	43.90	OK,OK,7=29=23,B1,S@25.90,33.10	52.58	OK,OK,20=31=23,OK,S@38.91,35.09
	AthEX0012409	chr5:14885497-14885551	55	chr5:14885807,14885497-14885551,14885378	S	82.26	SOK,SOK,42=60=11,OK,S@92.95,20.05	100.00	OK,OK,39=38=0,OK,S@77.00,0.00	96.77	SOK,SOK,57=63=2,OK,S@118.06,3.94	95.16	SOK,SOK,59=59=3,OK,S@115.14,5.86	94.87	OK,OK,36=38=2,OK,S@72.10,3.90	100.00	SOK,SOK,57=73=0,OK,S@130.00,0.00	100.00	SOK,SOK,53=52=0,OK,S@105.00,0.00
XPB1	AthEX0034288	chr5:16552549-16552572	24	chr5:16552363,16552479+16552513+16552549-16552572,16552660+16552695	S	37.35	SOK,SOK,10=39=76,B2,S@46.69,78.31	51.00	SOK,SOK,21=47=54,B1,S@62.22,59.78	51.72	SOK,SOK,29=45=55,B1,S@66.72,62.28	66.54	SOK,SOK,39=70=45,B1,S@102.47,51.53	49.74	SOK,SOK,30=60=76,B1,S@82.57,83.43	49.46	SOK,SOK,15=52=60,B2,S@62.81,64.19	58.04	SOK,SOK,22=64=53,B2,S@80.68,58.32
	AthEX0012612	chr5:16867008-16867113	106	chr5:16866603,16867008-16867113+16867120,16867803	S	80.95	VLOW,VLOW,10=7=2,OK,S@15.38,3.62	100.00	VLOW,VLOW,6=25=0,B1,S@31.00,0.00	100.00	N,N,7=8=0,OK,S@15.00,0.00	52.38	N,N,5=6=5,OK,S@8.38,7.62	100.00	VLOW,VLOW,14=13=0,OK,S@27.00,0.00	92.00	VLOW,VLOW,8=15=1,OK,S@22.08,1.92	100.00	VLOW,VLOW,10=11=0,OK,S@21.00,0.00
	AthEX0013371	chr5:22363850-22363935	86	chr5:22364075,22363733+22363850-22363935+22363941+22363957+22363976,22363626	S	89.47	OK,OK,30=55=5,OK,S@80.52,9.48	90.10	OK,OK,40=51=5,OK,S@86.50,9.50	87.88	OK,OK,41=46=6,OK,S@81.73,11.27	85.90	SOK,SOK,57=77=11,OK,S@124.56,20.44	94.84	SOK,SOK,43=104=4,B1,S@143.21,7.79	89.12	SOK,SOK,40=91=8,B1,S@123.88,15.12	71.15	OK,OK,29=45=15,OK,S@63.32,25.68
UGT80B1	AthEX0033313	chr1:16429654-16429749	96	chr1:16430029,16429643+16429654-16429749+16429754,16429460+16429466+16429558	S	67.18	OK,OK,30=29=14,OK,S@49.04,23.96	76.09	OK,OK,31=28=9,OK,S@51.74,16.26	71.40	OK,OK,38=34=14,OK,S@61.40,24.60	89.98	SOK,SOK,65=46=6,OK,S@105.28,11.72	81.37	SOK,SOK,45=45=10,OK,S@81.37,18.63	69.38	SOK,SOK,56=28=18,OK,S@70.77,31.23	85.08	SOK,SOK,50=44=8,OK,S@86.78,15.22
	AthEX0002960	chr1:24952952-24953677	726	chr1:24952058,24952952-24953677,24953892	C1	57.91	VLOW,LOW,8=25=11,B1,S@25.48,18.52	41.05	VLOW,LOW,9=8=10,OK,C1@11.08,15.92	59.31	VLOW,LOW,9=32=13,B2,C1@32.03,21.97	69.85	LOW,LOW,17=12=5,OK,C1@23.75,10.25	44.87	OK,OK,13=32=25,B1,C1@31.41,38.59	46.98	OK,SOK,16=32=24,B1,C1@33.83,38.17	38.50	VLOW,LOW,6=11=12,B1,C1@11.17,17.84
